検索キーID,表示名,大区分,中区分,小区分,関連診療科,重み初期値,検索対象,設問数,設問ID,出典カテゴリ,メディマップ語彙,親検索キーID
C0130,難治性ぜん息・アトピー性皮膚炎への生物学的製剤の導入・管理,内科,アレルギー内科,重症アレルギー対応,アレルギー内科,3,1,1,185,内科>アレルギー内科>重症アレルギー対応,,
C0131,特異的LgE検査、アレルゲン同定検査,内科,アレルギー内科,専門検査,アレルギー内科,2,1,1,186,内科>アレルギー内科>専門検査,,
C0132,吸入・食物アレルゲンに対する皮膚テスト,内科,アレルギー内科,専門検査,アレルギー内科,2,1,1,187,内科>アレルギー内科>専門検査,,
C0133,抗がん剤投与管理（点滴・内服）,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,190,内科>腫瘍内科（がん薬物療法系）,,
C0134,分子標的治療薬投与,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,191,内科>腫瘍内科（がん薬物療法系）,,
C0135,免疫チェックポイント阻害薬投与,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,192,内科>腫瘍内科（がん薬物療法系）,,
C0136,ホルモン療法（乳がん・前立腺がんなど）の管理,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,193,内科>腫瘍内科（がん薬物療法系）,,
C0137,LH-RHアゴニスト、アンタゴニスト投与,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,194,内科>腫瘍内科（がん薬物療法系）,,
C0138,骨髄抑制・貧血・感染症対応,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,195,内科>腫瘍内科（がん薬物療法系）,,
C0139,嘔気・嘔吐・口内炎などの副作用管理,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,196,内科>腫瘍内科（がん薬物療法系）,,
C0140,栄養サポート・支持療法（輸液・疼痛管理含む）,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,197,内科>腫瘍内科（がん薬物療法系）,,
C0141,画像検査・腫瘍マーカーによる治療効果評価,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,198,内科>腫瘍内科（がん薬物療法系）,,
C0142,再発リスクのモニタリング,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,199,内科>腫瘍内科（がん薬物療法系）,,
C0143,QOL向上のための症状管理,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,200,内科>腫瘍内科（がん薬物療法系）,,
C0144,他科（緩和ケア・放射線科など）との連携,内科,腫瘍内科（がん薬物療法系）,,腫瘍内科（がん薬物療法系）,3,1,1,201,内科>腫瘍内科（がん薬物療法系）,,
C0145,骨粗鬆症の検査,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,疾患のフォロー・管理,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,203,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>疾患のフォロー・管理,,
C0146,関節リウマチ管理,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,疾患のフォロー・管理,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,204,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>疾患のフォロー・管理,,
C0147,腫瘍用人工関節の診察（初期対応のみ）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,疾患のフォロー・管理,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,205,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>疾患のフォロー・管理,,
C0148,関節内注射,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,注射・薬物療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,206,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>注射・薬物療法,,
C0149,腱鞘内注射,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,注射・薬物療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,207,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>注射・薬物療法,,
C0150,骨粗鬆症治療薬注射（イベニティ、ボンビバ、プラリア、テリボン）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,注射・薬物療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,208,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>注射・薬物療法,,
C0151,生物学的製剤の治療,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,注射・薬物療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,209,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>注射・薬物療法,,
C0152,手術創の管理（抜糸含む）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,手術後・創部管理,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,210,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>手術後・創部管理,,
C0153,骨密度検査,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,検査・診断補助,整形外科・リハビリテーション科（リウマチ科の外科系含む）,2,1,1,211,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>検査・診断補助,,
C0154,装具外来,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,装具・補助療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,212,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>装具・補助療法,,
C0155,先天性内反足・先天性股関節脱臼の装具療法,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,装具・補助療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,213,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>装具・補助療法,,
C0156,足底板作成,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,装具・補助療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,214,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>装具・補助療法,,
C0157,PTリハ（理学療法士による運動療法）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,リハビリテーション（理学療法・作業療法）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,215,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>リハビリテーション（理学療法・作業療法）,,
C0158,OTリハ（作業療法士による機能訓練）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,リハビリテーション（理学療法・作業療法）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,216,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>リハビリテーション（理学療法・作業療法）,,
C0159,一般的リハビリテーション管理,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,リハビリテーション（理学療法・作業療法）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,217,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>リハビリテーション（理学療法・作業療法）,,
C0160,頸椎牽引・腰椎牽引,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,218,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0161,干渉波治療器,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,219,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0162,低周波治療器（SSP）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,220,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0163,マイクロサーミー,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,221,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0164,ウォーターベッド・超音波治療,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,222,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0165,ホットパック,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,物理療法（理学療法の補助機器）,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,223,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>物理療法（理学療法の補助機器）,,
C0166,体外衝撃波治療（拡散型）,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,特殊療法,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,224,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）>特殊療法,,
C0167,言語聴覚士の配置,共通,医療機関内サービス・アメニティ,医療スタッフ・リハビリ関連,整形外科・リハビリテーション科（リウマチ科の外科系含む）,2,1,2,"225,599",共通>医療機関内サービス・アメニティ>医療スタッフ・リハビリ関連 | 外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）,,
C0168,側彎症の装具治療,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,226,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）,,
C0169,神経ブロック治療,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,,整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,1,227,外科>整形外科・リハビリテーション科（リウマチ科の外科系含む）,,
C0170,骨密度測定,外科,整形外科・リハビリテーション科（リウマチ科の外科系含む）,,放射線科（診断＋治療含む）、整形外科・リハビリテーション科（リウマチ科の外科系含む）,3,1,2,"228,472",外科>整形外科・リハビリテーション科（リウマチ科の外科系含む） | 諸科>放射線科（診断＋治療含む）>骨・関節関連評価,,
C0171,術後フォローアップ（ホルモン剤の処方含む）,外科,乳腺・甲状腺外科,術後・長期フォローアップ,乳腺・甲状腺外科,3,1,1,230,外科>乳腺・甲状腺外科>術後・長期フォローアップ,,
C0172,5年フォロー終了後の癌患者の定期処方フォロー,外科,乳腺・甲状腺外科,術後・長期フォローアップ,乳腺・甲状腺外科、消化器外科,3,1,2,"231,279",外科>乳腺・甲状腺外科>術後・長期フォローアップ | 外科>消化器外科>術後・長期フォロー,,
C0173,5年フォロー終了後の癌患者の定期内視鏡フォロー,外科,乳腺・甲状腺外科,術後・長期フォローアップ,乳腺・甲状腺外科、消化器外科,3,1,2,"232,280",外科>乳腺・甲状腺外科>術後・長期フォローアップ | 外科>消化器外科>術後・長期フォロー,,
C0174,術後の創傷処置,外科,乳腺・甲状腺外科,術後・長期フォローアップ,乳腺・甲状腺外科,3,1,1,233,外科>乳腺・甲状腺外科>術後・長期フォローアップ,,
C0175,乳腺超音波検査,外科,乳腺・甲状腺外科,乳腺領域：診断・検査,乳腺・甲状腺外科,2,1,1,234,外科>乳腺・甲状腺外科>乳腺領域：診断・検査,,
C0176,マンモグラフィー,外科,乳腺・甲状腺外科,乳腺領域：診断・検査,乳腺・甲状腺外科,2,1,1,235,外科>乳腺・甲状腺外科>乳腺領域：診断・検査,,
C0177,細胞診の実施（乳腺）,外科,乳腺・甲状腺外科,乳腺領域：診断・検査,乳腺・甲状腺外科,2,1,1,236,外科>乳腺・甲状腺外科>乳腺領域：診断・検査,,
C0178,針生検の実施,外科,乳腺・甲状腺外科,乳腺領域：診断・検査,乳腺・甲状腺外科,2,1,1,237,外科>乳腺・甲状腺外科>乳腺領域：診断・検査,,
C0179,抗がん剤の処方（外来対応可能な範囲）,外科,乳腺・甲状腺外科,薬物治療,乳腺・甲状腺外科,3,1,1,242,外科>乳腺・甲状腺外科>薬物治療,,
C0180,頭部外傷後の後遺症フォロー,外科,脳神経外科,外傷・術後管理,脳神経外科,3,1,1,244,外科>脳神経外科>外傷・術後管理,,
C0181,脳卒中術後のフォロー,外科,脳神経外科,外傷・術後管理,脳神経外科,3,1,1,245,外科>脳神経外科>外傷・術後管理,,
C0182,脊髄・脊椎疾患のフォロー,外科,脳神経外科,外傷・術後管理,脳神経外科,3,1,1,246,外科>脳神経外科>外傷・術後管理,,
C0183,抜糸・抜鉤など術後処置,外科,脳神経外科,外傷・術後管理,脳神経外科,3,1,1,247,外科>脳神経外科>外傷・術後管理,,
C0184,抗痙攣薬処方管理,外科,脳神経外科,神経疾患・慢性疾患管理,脳神経外科,3,1,1,249,外科>脳神経外科>神経疾患・慢性疾患管理,,
C0185,MRI検査,外科,脳神経外科,,脳神経外科,3,1,1,251,外科>脳神経外科,,
C0186,CT検査,外科,脳神経外科,,脳神経外科,3,1,1,252,外科>脳神経外科,,
C0187,認知症管理,外科,脳神経外科,神経疾患・慢性疾患管理,脳神経外科,3,1,1,254,外科>脳神経外科>神経疾患・慢性疾患管理,,
C0188,頭痛の内服治療,外科,脳神経外科,神経疾患・慢性疾患管理,脳神経外科,3,1,1,255,外科>脳神経外科>神経疾患・慢性疾患管理,,
C0189,ラジカット点滴,外科,脳神経外科,薬物治療・点滴療法,脳神経外科,3,1,1,256,外科>脳神経外科>薬物治療・点滴療法,,
C0190,胃・小腸・大腸・肝胆膵の良性疾患手術（虫垂炎、胆石症、ヘルニアなど,外科,外科（一般外科含む）,消化器手術・管理,外科（一般外科含む）,3,1,1,258,外科>外科（一般外科含む）>消化器手術・管理,,
C0191,腹腔鏡手術対応（胆嚢摘出術、虫垂切除術など）,外科,外科（一般外科含む）,消化器手術・管理,外科（一般外科含む）,3,1,1,259,外科>外科（一般外科含む）>消化器手術・管理,,
C0192,術後合併症管理（創部感染、腹水、吻合部トラブルなど）,外科,外科（一般外科含む）,消化器手術・管理,外科（一般外科含む）,3,1,1,260,外科>外科（一般外科含む）>消化器手術・管理,,
C0193,消化管穿孔や腹部外傷の初期評価と処置,外科,外科（一般外科含む）,外傷・緊急処置,外科（一般外科含む）,3,1,1,261,外科>外科（一般外科含む）>外傷・緊急処置,,
C0194,小外傷・皮下血種のドレナージや縫合,外科,外科（一般外科含む）,外傷・緊急処置,外科（一般外科含む）,3,1,1,262,外科>外科（一般外科含む）>外傷・緊急処置,,
C0195,腫瘍切開・ドレナージ,外科,外科（一般外科含む）,皮膚・軟部組織疾患,外科（一般外科含む）,3,1,1,263,外科>外科（一般外科含む）>皮膚・軟部組織疾患,,
C0196,軟部腫瘍の摘出（脂肪腫・粉瘤など）,外科,外科（一般外科含む）,皮膚・軟部組織疾患,外科（一般外科含む）,3,1,1,264,外科>外科（一般外科含む）>皮膚・軟部組織疾患,,
C0197,腸閉塞や胆嚢炎など保存的治療の管理,外科,外科（一般外科含む）,内科的フォロー・薬物管理,外科（一般外科含む）,3,1,1,265,外科>外科（一般外科含む）>内科的フォロー・薬物管理,,
C0198,抗菌薬・止血薬など術後・保存的治療薬の調整,外科,外科（一般外科含む）,内科的フォロー・薬物管理,外科（一般外科含む）,3,1,1,266,外科>外科（一般外科含む）>内科的フォロー・薬物管理,,
C0199,弁置換術後・弁形成術後のフォロー,外科,心臓血管外科,術後フォロー,心臓血管外科,3,1,1,268,外科>心臓血管外科>術後フォロー,,
C0200,心不全の外科手術後フォロー,外科,心臓血管外科,術後フォロー,心臓血管外科,3,1,1,269,外科>心臓血管外科>術後フォロー,,
C0201,術後抗凝固療法管理（ワーファリン/DOAC調整）,外科,心臓血管外科,術後フォロー,心臓血管外科,3,1,1,270,外科>心臓血管外科>術後フォロー,,
C0202,動脈瘤の精査・フォロー（大動脈瘤・末梢動脈瘤）,外科,心臓血管外科,動脈・血管疾患の管理,心臓血管外科,3,1,1,271,外科>心臓血管外科>動脈・血管疾患の管理,,
C0203,動脈硬化・抹消動脈疾患の管理,外科,心臓血管外科,動脈・血管疾患の管理,心臓血管外科,3,1,1,272,外科>心臓血管外科>動脈・血管疾患の管理,,
C0204,冠動脈危険因子の加療（高血圧・高脂血症・喫煙・肥満 他）,外科,心臓血管外科,動脈・血管疾患の管理,心臓血管外科,3,1,1,273,外科>心臓血管外科>動脈・血管疾患の管理,,
C0205,冠動脈CTによる評価,外科,心臓血管外科,画像検査・評価,心臓血管外科,2,1,1,274,外科>心臓血管外科>画像検査・評価,,
C0206,全身動脈造影CTによる血管病変精査,外科,心臓血管外科,画像検査・評価,心臓血管外科,2,1,1,275,外科>心臓血管外科>画像検査・評価,,
C0207,利尿薬の調整（心不全・周術期管理を含む）,外科,心臓血管外科,薬物管理,心臓血管外科,3,1,1,276,外科>心臓血管外科>薬物管理,,
C0208,抗血栓療法のコントロール（ワーファリン/DOAC）,外科,心臓血管外科,薬物管理,心臓血管外科,3,1,1,277,外科>心臓血管外科>薬物管理,,
C0209,消化器がん手術後の再発チェック・生活指導,外科,消化器外科,術後・長期フォロー,消化器外科,3,1,1,281,外科>消化器外科>術後・長期フォロー,,
C0210,上部消化管内視鏡検査,外科,消化器外科,検査・診断,消化器外科,2,1,1,282,外科>消化器外科>検査・診断,,
C0211,下部消化管内視鏡検査,外科,消化器外科,検査・診断,消化器外科,2,1,1,283,外科>消化器外科>検査・診断,,
C0212,創処置（創洗浄、縫合部・ドレーン管理）,外科,消化器外科,術後・処置関連,消化器外科,3,1,1,285,外科>消化器外科>術後・処置関連,,
C0213,経管栄養管理（経鼻胃管、経腸栄養チューブの管理）,外科,消化器外科,術後・処置関連,消化器外科,3,1,1,286,外科>消化器外科>術後・処置関連,,
C0214,在宅中心静脈栄養（TPN）の管理,外科,消化器外科,術後・処置関連,消化器外科,3,1,1,287,外科>消化器外科>術後・処置関連,,
C0215,エスワン補助化学療法（胃がん）,外科,消化器外科,,消化器外科,3,1,1,288,外科>消化器外科,,
C0216,胃食道のバリウム造影検査,外科,消化器外科,,消化器外科,3,1,1,289,外科>消化器外科,,
C0217,注腸検査,外科,消化器外科,,消化器外科,3,1,1,290,外科>消化器外科,,
C0218,経腸栄養管理,外科,消化器外科,,消化器外科,3,1,1,291,外科>消化器外科,,
C0219,気管カニューレ管理,外科,消化器外科,,消化器外科,3,1,1,292,外科>消化器外科,,
C0220,先天異常や外傷後の顔面・体幹・手指の再建手術,外科,形成外科,再建・修復手術,形成外科,3,1,1,294,外科>形成外科>再建・修復手術,,
C0221,皮弁形成・遊離皮弁移植などの複雑創傷再建,外科,形成外科,再建・修復手術,形成外科,3,1,1,295,外科>形成外科>再建・修復手術,,
C0222,熱傷後瘢痕の修正手術,外科,形成外科,再建・修復手術,形成外科,3,1,1,296,外科>形成外科>再建・修復手術,,
C0223,口唇裂・口蓋裂の修復手術,外科,形成外科,顔面・頭頚部の美容・機能改善,形成外科,3,1,1,297,外科>形成外科>顔面・頭頚部の美容・機能改善,,
C0224,鼻形成・耳形成など顔面の再建・形態改善,外科,形成外科,顔面・頭頚部の美容・機能改善,形成外科,3,1,1,298,外科>形成外科>顔面・頭頚部の美容・機能改善,,
C0225,眼瞼下垂や眼瞼形成など機能改善手術,外科,形成外科,顔面・頭頚部の美容・機能改善,形成外科,3,1,1,299,外科>形成外科>顔面・頭頚部の美容・機能改善,,
C0226,慢性創傷・圧迫潰瘍の治療・再建,外科,形成外科,創傷管理・瘢痕治療,形成外科,3,1,1,300,外科>形成外科>創傷管理・瘢痕治療,,
C0227,ケロイド・肥厚性瘢痕の注射・手術治療,外科,形成外科,創傷管理・瘢痕治療,形成外科,3,1,1,301,外科>形成外科>創傷管理・瘢痕治療,,
C0228,褥瘡の外科的管理,外科,形成外科,創傷管理・瘢痕治療,形成外科,3,1,1,302,外科>形成外科>創傷管理・瘢痕治療,,
C0229,リンパ浮腫に対する手術・再建,外科,形成外科,血管・リンパ関連処置,形成外科,3,1,1,303,外科>形成外科>血管・リンパ関連処置,,
C0230,微小血管吻合を伴う再建術,外科,形成外科,血管・リンパ関連処置,形成外科,3,1,1,304,外科>形成外科>血管・リンパ関連処置,,
C0231,肺悪性腫瘍の外科切除（肺葉切除、区域切除など）,外科,呼吸器外科,肺・気道手術,呼吸器外科,3,1,1,306,外科>呼吸器外科>肺・気道手術,,
C0232,気管支・気管の外科的再建,外科,呼吸器外科,肺・気道手術,呼吸器外科,3,1,1,307,外科>呼吸器外科>肺・気道手術,,
C0233,気胸手術（胸腔鏡下・開胸手術）,外科,呼吸器外科,肺・気道手術,呼吸器外科,3,1,1,308,外科>呼吸器外科>肺・気道手術,,
C0234,胸膜疾患（胸膜中皮腫、悪性胸水など）の外科的管理,外科,呼吸器外科,胸膜・胸腔手術,呼吸器外科,3,1,1,309,外科>呼吸器外科>胸膜・胸腔手術,,
C0235,胸腔鏡下胸腔操作（胸水ドレナージ、癒着剥離など）,外科,呼吸器外科,胸膜・胸腔手術,呼吸器外科,3,1,1,310,外科>呼吸器外科>胸膜・胸腔手術,,
C0236,胸部外傷（肋骨骨折・肺損傷・気胸・血胸）の外科的処置,外科,呼吸器外科,外傷・緊急対応,呼吸器外科,3,1,1,311,外科>呼吸器外科>外傷・緊急対応,,
C0237,胸腔ドレーン管理・術後合併症フォロー,外科,呼吸器外科,術後管理,呼吸器外科,3,1,1,312,外科>呼吸器外科>術後管理,,
C0238,外科的治療後の呼吸機能評価・回復管理,外科,呼吸器外科,術後管理,呼吸器外科,3,1,1,313,外科>呼吸器外科>術後管理,,
C0239,気管・気管支瘻の外科的管理,外科,呼吸器外科,瘻孔・穿刺処置,呼吸器外科,3,1,1,314,外科>呼吸器外科>瘻孔・穿刺処置,,
C0240,胸腔穿刺・ドレナージ手技,外科,呼吸器外科,瘻孔・穿刺処置,呼吸器外科,3,1,1,315,外科>呼吸器外科>瘻孔・穿刺処置,,
C0241,表皮内癌（基底細胞癌・日光角化症・ボーエン病）術後フォロー,諸科,皮膚科,皮膚腫瘍・術後管理,皮膚科,3,1,1,317,諸科>皮膚科>皮膚腫瘍・術後管理,,
C0242,小手術（皮膚良性腫瘍切除、皮膚悪性腫瘍単純切除、皮弁形成術ほか,諸科,皮膚科,皮膚腫瘍・術後管理,皮膚科,3,1,1,318,諸科>皮膚科>皮膚腫瘍・術後管理,,
C0243,伝染性軟属腫の摘除術,諸科,皮膚科,皮膚腫瘍・術後管理,皮膚科,3,1,1,319,諸科>皮膚科>皮膚腫瘍・術後管理,,
C0244,プリックテスト,諸科,皮膚科,アレルギー・免疫検査,皮膚科,2,1,1,320,諸科>皮膚科>アレルギー・免疫検査,,
C0245,パッチテスト,諸科,皮膚科,アレルギー・免疫検査,皮膚科,2,1,1,321,諸科>皮膚科>アレルギー・免疫検査,,
C0246,ダーモスコピー,諸科,皮膚科,皮膚画像・評価,皮膚科,3,1,1,322,諸科>皮膚科>皮膚画像・評価,,
C0247,アトピー性皮膚炎治療,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,323,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0248,乾癬治療（生物学的製剤投与含む）,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,324,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0249,蕁麻疹治療（生物学的製剤投与含む）,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,325,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0250,軟膏処置（一般皮膚疾患・熱傷含む）,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,326,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0251,ハイドロキノン処方（色素沈着・美白治療）,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,327,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0252,強ミノC静注,諸科,皮膚科,皮膚疾患治療・薬物管理,皮膚科,3,1,1,328,諸科>皮膚科>皮膚疾患治療・薬物管理,,
C0253,真菌鏡検,諸科,皮膚科,感染症・真菌疾患,皮膚科,3,1,1,329,諸科>皮膚科>感染症・真菌疾患,,
C0254,潰瘍処置（感染症・慢性潰瘍含む）,諸科,皮膚科,感染症・真菌疾患,皮膚科,3,1,1,330,諸科>皮膚科>感染症・真菌疾患,,
C0255,紫外線療法（エキシマライト/エキシマレーザー）,諸科,皮膚科,光線・レーザー治療,皮膚科,3,1,1,331,諸科>皮膚科>光線・レーザー治療,,
C0256,紫外線療法（ナローバンドUV8 全身型・ターゲット照射型）,諸科,皮膚科,光線・レーザー治療,皮膚科,3,1,1,332,諸科>皮膚科>光線・レーザー治療,,
C0257,紫外線治療（UVA療法）,諸科,皮膚科,光線・レーザー治療,皮膚科,3,1,1,333,諸科>皮膚科>光線・レーザー治療,,
C0258,レーザー治療（炭酸ガスレーザー/Qスイッチレーザー/色素レーザー,諸科,皮膚科,光線・レーザー治療,皮膚科,3,1,1,334,諸科>皮膚科>光線・レーザー治療,,
C0259,巻き爪ワイヤー処置,諸科,皮膚科,爪・角質関連処置,皮膚科,3,1,1,335,諸科>皮膚科>爪・角質関連処置,,
C0260,液体窒素療法（イボ・角化病変など）,諸科,皮膚科,爪・角質関連処置,皮膚科,3,1,1,336,諸科>皮膚科>爪・角質関連処置,,
C0261,アトピー性皮膚炎デュピルマグ導入（成人）,諸科,皮膚科,,皮膚科,3,1,1,337,諸科>皮膚科,,
C0262,アトピー性皮膚炎デュピルマグ導入（小児）,諸科,皮膚科,,皮膚科,3,1,1,338,諸科>皮膚科,,
C0263,アトピー性皮膚炎ミチーガ導入（成人）,諸科,皮膚科,,皮膚科,3,1,1,339,諸科>皮膚科,,
C0264,アトピー性皮膚炎ミチーガ導入（小児）,諸科,皮膚科,,皮膚科,3,1,1,340,諸科>皮膚科,,
C0265,アトピー性皮膚炎イブグリース導入,諸科,皮膚科,,皮膚科,3,1,1,341,諸科>皮膚科,,
C0266,アトピー性皮膚炎アドトラーザ導入,諸科,皮膚科,,皮膚科,3,1,1,342,諸科>皮膚科,,
C0267,蕁麻疹ゾレア導入,諸科,皮膚科,,皮膚科,3,1,1,343,諸科>皮膚科,,
C0268,蕁麻疹デュピクセント導入,諸科,皮膚科,,皮膚科,3,1,1,344,諸科>皮膚科,,
C0269,尋常性乾癬オテズラ導入,諸科,皮膚科,,皮膚科,3,1,1,345,諸科>皮膚科,,
C0270,自己導尿管理指導,諸科,泌尿器科,尿路管理・カテーテル関連,泌尿器科,3,1,1,347,諸科>泌尿器科>尿路管理・カテーテル関連,,
C0271,尿道カテーテル交換,諸科,泌尿器科,尿路管理・カテーテル関連,泌尿器科,3,1,1,348,諸科>泌尿器科>尿路管理・カテーテル関連,,
C0272,腎ろう交換,諸科,泌尿器科,尿路管理・カテーテル関連,泌尿器科,3,1,1,349,諸科>泌尿器科>尿路管理・カテーテル関連,,
C0273,膀胱瘻交換,共通,在宅診療内容,排泄管理,泌尿器科,3,1,2,"350,526",共通>在宅診療内容>排泄管理 | 諸科>泌尿器科>尿路管理・カテーテル関連,,
C0274,膀胱鏡検査,諸科,泌尿器科,泌尿器手技・検査,泌尿器科,2,1,1,351,諸科>泌尿器科>泌尿器手技・検査,,
C0275,前立腺針生検,諸科,泌尿器科,泌尿器手技・検査,泌尿器科,2,1,1,352,諸科>泌尿器科>泌尿器手技・検査,,
C0276,腹部エコー,共通,検査関連,超音波・エコー検査,泌尿器科,2,1,2,"353,575",共通>検査関連>超音波・エコー検査 | 諸科>泌尿器科>泌尿器手技・検査,,
C0277,泌尿器科疾患定期検査,諸科,泌尿器科,定期フォロー・検査,泌尿器科,2,1,1,354,諸科>泌尿器科>定期フォロー・検査,,
